LOCATION:  P4
TEST TYPE:  All
DATES:   1/01/15 to 11/10/15
Date ,Skid ID ,Skid ID2 ,Line ,Product ,Lot Code ,Test Type ,Prim. Resin ,% ,Sec. Resin ,% ,Additive 1 ,% ,Additive 2 ,% ,Additive 3 ,% ,Array ,Dart Spec ,Dart Offline ,Dart Ratio ,Tear Spec ,MD Tear Offline ,MD Tear Ratio ,TD Tear Offline ,TD Tear Ratio ,Opacity ,Gauge Spec ,Min ,Avg. ,Range ,Low ,Gauge CoV ,Gauge Retest ,QA Tag Number1 ,QA Tag Number2 ,Comment ,Dart 1 Day ,Dart 2 Weeks ,Dart 3 Months ,Tear 1 Day ,Tear 2 Weeks ,Tear 3 Months
2015/01/06 , 0019637802 , 0019637801 , 436  , DSRS913W-1      , 006154     ,   , LT74107         ,  95.00 , C012            ,   4.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0460 ,  1.250 , 00300 , 00506 ,  1.686 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .420 ,    .630 ,      ,         ,         ,         , 19637802-01               ,      ,      ,      ,       ,       ,
2015/01/06 , 0019637806 , 0019637805 , 436  , DSRS913W-1      , 006152     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0496 ,  1.347 , 00300 , 00405 ,  1.350 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .850 ,    .480 ,    .630 ,      ,         ,         ,         , S19637806-05              ,      ,      ,      ,       ,       ,
2015/01/06 , 0019637804 , 0019637803 , 436  , DSRS913W-1      , 006152     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0502 ,  1.364 , 00300 , 00324 ,  1.080 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .850 ,    .470 ,    .640 ,      ,         ,         ,         , S19637804-03              ,      ,      ,      ,       ,       ,
2015/01/07 , 0019647867 , 0019647868 , 436  , DSRS913W-1      , 007151     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0460 ,  1.250 , 00300 , 00550 ,  1.833 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .902 ,    .440 ,    .730 ,      ,         ,         ,         , ID 19647867-68            ,      ,      ,      ,       ,       ,
2015/01/07 , 0019640120 , 0019640119 , 436  , DSRS913W-1      , 007153     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0454 ,  1.233 , 00300 , 00496 ,  1.653 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .870 ,    .340 ,    .710 ,      ,         ,         ,         , 19640120-19               ,      ,      ,      ,       ,       ,
2015/01/08 , 0000000000 , 0000000000 , 436  , DSRS913W-1      , 008153     ,   , LT74107         ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0442 ,  1.201 , 00300 , 00436 ,  1.453 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .800 ,    .430 ,    .630 ,      ,         ,         ,         , 19640110-09  HT 41101-02  ,      ,      ,      ,       ,       ,
2015/01/08 , 0019640114 , 0019640113 , 436  , DSRS913W-1      , 008151     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0484 ,  1.315 , 00300 , 00496 ,  1.653 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .860 ,    .360 ,    .680 ,      ,         ,         ,         , 19640114-13               ,      ,      ,      ,       ,       ,
2015/01/08 , 0019640112 , 0019640111 , 436  , DSRS913W-1      , 008151     ,   ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,                 ,        ,    , 00368 , 0484 ,  1.315 , 00300 , 00507 ,  1.690 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .830 ,    .440 ,    .520 ,      ,         ,         ,         , 19640112-11               ,      ,      ,      ,       ,       ,
2015/01/09 , 0019640099 , 0019640098 , 436  , DSRS913W-1      , 009153     ,   , 2020G           ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0442 ,  1.201 , 00300 , 00513 ,  1.710 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .810 ,    .330 ,    .630 ,      ,         ,         ,         , 19640099-98               ,      ,      ,      ,       ,       ,
2015/01/09 , 0019640106 , 0019640105 , 436  , DSRS913W-1      , 009151     ,   , 2020G           ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0460 ,  1.250 , 00300 , 00322 ,  1.073 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .870 ,    .450 ,    .620 ,      ,         ,         ,         , ID 19640106-05            ,      ,      ,      ,       ,       ,
2015/01/09 , 0019640103 , 0019640102 , 436  , DSRS913W-1      , 009151     ,   , 2020G           ,  96.00 , C012            ,   3.00 , A059            ,   1.00 ,                 ,        ,                 ,        ,    , 00368 , 0448 ,  1.217 , 00300 , 00472 ,  1.573 , 00000 ,   .000 ,         ,    .9000 ,    .7200 ,    .840 ,    .390 ,    .620 ,      ,         ,         ,         , ID 19640103-02            ,      ,      ,      ,       ,       ,
